clubName,leagueName,countryName,clubLogo,countryFlag
Chelsea,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Chelsea.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Arsenal,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Arsenal.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Manchester United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Manchester+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Villarreal CF,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Villarreal+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Roma,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Roma.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Manchester City,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Manchester+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
FC Barcelona,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Barcelona.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Real Madrid,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Real+Madrid.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Olympique de Marseille,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Olympique+de+Marseille.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Liverpool,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Liverpool.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Borussia Dortmund,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Borussia+Dortmund.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Inter,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Inter.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Milan,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Milan.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Tottenham Hotspur,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Tottenham+Hotspur.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
FC Bayern München,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Bayern+München.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Paris Saint-Germain,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Paris+Saint-Germain.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Ajax,Holland Eredivisie,Netherlands,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Ajax.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Netherlands.png
Sporting CP,Portuguese Liga ZON SAGRES,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sporting+CP.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
Leicester City,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Leicester+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Juventus,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Juventus.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Bayern München II,German 3. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bayern+München+II.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Tigres U.A.N.L.,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Tigres+U.A.N.L..png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Brighton & Hove Albion,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Brighton+&+Hove+Albion.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Leeds United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Leeds+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
